ID	Normoxia Avg (log2)	Hypoxia Avg (log2)	Fold Change	P-val	FDR P-val	Gene Symbol	Description
200632_s_at	8.85	13.71	-28.98	5.58E-07	0.0085	NDRG1	N-myc downstream regulated 1
201313_at	6.13	10.97	-28.58	2.38E-06	0.0085	ENO2	enolase 2 (gamma, neuronal)
202022_at	7.73	11.67	-15.36	2.41E-06	0.0085	ALDOC	aldolase C, fructose-bisphosphate
202912_at	8.51	13.25	-26.68	2.58E-06	0.0085	ADM	adrenomedullin
202973_x_at	4.61	10.03	-42.96	7.89E-07	0.0085	FAM13A	family with sequence similarity 13, member A
215446_s_at	3.76	9.85	-67.92	2.87E-07	0.0085	LOX	lysyl oxidase
219410_at	6.24	11.97	-53.17	1.98E-06	0.0085	TMEM45A	transmembrane protein 45A
226348_at	7.95	11.37	-10.7	2.70E-06	0.0085	FUT11	fucosyltransferase 11 (alpha (1,3) fucosyltransferase)
227337_at	5.7	10.17	-22.03	8.17E-07	0.0085	ANKRD37	ankyrin repeat domain 37
228499_at	7.59	11.34	-13.42	1.61E-06	0.0085	PFKFB4	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4
232238_at	7.26	3.71	11.69	2.06E-06	0.0085	ASPM	abnormal spindle microtubule assembly
235153_at	6.57	10.23	-12.66	1.82E-06	0.0085	RNF183	ring finger protein 183
235965_at	5.61	9.47	-14.49	1.30E-06	0.0085	BHLHA15	basic helix-loop-helix family, member a15
236180_at	5.3	10.58	-38.96	2.02E-06	0.0085		
238551_at	6.66	10.08	-10.7	2.80E-06	0.0085	FUT11	fucosyltransferase 11 (alpha (1,3) fucosyltransferase)
240633_at	10.62	6.98	12.49	1.78E-06	0.0085	DOK7	docking protein 7
1554452_a_at	9.01	12.62	-12.19	2.42E-06	0.0085	HILPDA	hypoxia inducible lipid droplet-associated
1554462_a_at	8.07	11.92	-14.46	2.14E-06	0.0085	DNAJB9	DnaJ (Hsp40) homolog, subfamily B, member 9
227868_at	6.2	9.53	-10.04	2.98E-06	0.0086	LOC154761	family with sequence similarity 115, member C pseudogene
206662_at	7.57	10.93	-10.24	3.25E-06	0.0089	GLRX	glutaredoxin
209566_at	6.99	10.86	-14.63	3.44E-06	0.0089	INSIG2	insulin induced gene 2
