ID	Normoxia Avg (log2)	Hypoxia Avg (log2)	Fold Change	P-val	FDR P-val	Gene Symbol	Description
227337_at	5.7	9.94	-18.81	2.34E-07	0.0128	ANKRD37	ankyrin repeat domain 37
201170_s_at	9.16	12.25	-8.49	1.18E-06	0.0218	BHLHE40	basic helix-loop-helix family, member e40
202887_s_at	10.36	13.32	-7.77	1.48E-06	0.0218	DDIT4	DNA damage inducible transcript 4
209189_at	7.81	11.18	-10.31	1.59E-06	0.0218	FOS	FBJ murine osteosarcoma viral oncogene homolog
202912_at	8.51	12.57	-16.64	2.91E-06	0.0318	ADM	adrenomedullin
201694_s_at	9.91	11.71	-3.49	2.06E-05	0.0378	EGR1	early growth response 1
201739_at	8.95	6.72	4.69	6.69E-06	0.0378	SGK1	serum/glucocorticoid regulated kinase 1
202464_s_at	9.27	11.61	-5.04	6.81E-06	0.0378	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3
202549_at	8.02	6.36	3.16	2.97E-05	0.0378	VAPB	VAMP (vesicle-associated membrane protein)-associated protein B and C
202770_s_at	8.26	10.61	-5.08	3.11E-05	0.0378	CCNG2	cyclin G2
202842_s_at	10.08	12.87	-6.93	1.50E-05	0.0378	DNAJB9	DnaJ (Hsp40) homolog, subfamily B, member 9
202843_at	6.62	10.39	-13.66	4.34E-06	0.0378	DNAJB9	DnaJ (Hsp40) homolog, subfamily B, member 9
204284_at	8.89	11.15	-4.78	3.17E-05	0.0378	PPP1R3C	protein phosphatase 1, regulatory subunit 3C
206500_s_at	7.08	5.12	3.89	1.56E-05	0.0378	MIS18BP1	MIS18 binding protein 1
207980_s_at	6.46	8.3	-3.58	1.99E-05	0.0378	CITED2	Cbp/p300-interacting transactivator, with Glu/Asp rich carboxy-terminal domain, 2
208859_s_at	8.46	6.28	4.54	9.46E-06	0.0378	ATRX	alpha thalassemia/mental retardation syndrome X-linked
208900_s_at	11.37	9.2	4.49	1.53E-05	0.0378	TOP1	topoisomerase (DNA) I
209136_s_at	9.11	7.46	3.15	3.21E-05	0.0378	USP10	ubiquitin specific peptidase 10
209203_s_at	8	5.94	4.16	2.12E-05	0.0378	BICD2	bicaudal D homolog 2 (Drosophila)
209257_s_at	8.84	7.01	3.57	1.90E-05	0.0378	SMC3	structural maintenance of chromosomes 3
209357_at	8.52	10.75	-4.71	9.48E-06	0.0378	CITED2	Cbp/p300-interacting transactivator, with Glu/Asp rich carboxy-terminal domain, 2
209457_at	6.29	8.46	-4.51	1.01E-05	0.0378	DUSP5	dual specificity phosphatase 5
211993_at	8.52	6.85	3.18	3.13E-05	0.0378	WNK1	WNK lysine deficient protein kinase 1
212105_s_at	6.67	4.87	3.49	2.70E-05	0.0378	DHX9	DEAH (Asp-Glu-Ala-His) box helicase 9
212107_s_at	9.14	7.18	3.89	1.37E-05	0.0378	DHX9	DEAH (Asp-Glu-Ala-His) box helicase 9
212558_at	7.04	9.39	-5.08	1.49E-05	0.0378	SPRY1	sprouty RTK signaling antagonist 1
213286_at	8.07	6.37	3.25	2.70E-05	0.0378	ZFR	zinc finger RNA binding protein
